PROBE_V1
p=0.0028561201553367502 q=547.76569688604593
p=0.002856120155337 q=547.76569688604604
p=0.0028561201553372502 q=547.76569688604616
p=0.0028561201553375 q=547.76569688604638
p=0.0028561201553377502 q=547.7656968860465
p=0.002856120155338 q=547.76569688604661
p=0.0028561201553382498 q=547.76569688604684
p=0.0028561201553385001 q=547.76569688604695
p=0.0028561201553387499 q=547.76569688604707
p=0.0028561201553390001 q=547.76569688604718
p=0.0028561201553392499 q=547.76569688604741
p=0.0028561201553395001 q=547.76569688604752
p=0.0028561201553397499 q=547.76569688604764
p=0.0028561201553400002 q=547.76569688604775
p=0.00285612015534025 q=547.76569688604798
p=0.0028561201553405002 q=547.76569688604809
p=0.00285612015534075 q=547.7656968860482
p=0.0028561201553410002 q=547.76569688604843
p=0.00285612015534125 q=547.76569688604854
p=0.0028561201553414998 q=547.76569688604866
p=0.0028561201553417501 q=547.76569688604877
p=0.0028561201553419999 q=547.765696886049
p=0.0028561201553422501 q=547.76569688604911
p=0.0028561201553424999 q=547.76569688604923
p=0.0028561201553427501 q=547.76569688604945
p=0.0028561201553429999 q=547.76569688604957
p=0.0028561201553432502 q=547.76569688604968
p=0.0028561201553435 q=547.7656968860498
p=0.0028561201553437502 q=547.76569688604991
p=0.002856120155344 q=547.76569688605014
p=0.0028561201553442502 q=547.76569688605025
p=0.0028561201553445 q=547.76569688605036
p=0.0028561201553447498 q=547.76569688605059
p=0.0028561201553450001 q=547.7656968860507
p=0.0028561201553452499 q=547.76569688605082
p=0.0028561201553455001 q=547.76569688605105
p=0.0028561201553457499 q=547.76569688605116
p=0.0028561201553460001 q=547.76569688605127
p=0.0028561201553462499 q=547.76569688605139
p=0.0028561201553465002 q=547.76569688605161
p=0.00285612015534675 q=547.76569688605173
p=0.0028561201553470002 q=547.76569688605184
p=0.00285612015534725 q=547.76569688605196
p=0.0028561201553474998 q=547.76569688605218
p=0.00285612015534775 q=547.7656968860523
p=0.0028561201553479998 q=547.76569688605241
p=0.0028561201553482501 q=547.76569688605264
p=0.0028561201553484999 q=547.76569688605275
p=0.0028561201553487501 q=547.76569688605287
p=0.0028561201553489999 q=547.76569688605309
p=0.0028561201553492501 q=547.76569688605321
p=0.0028561201553494999 q=547.76569688605332
p=0.0028561201553497502 q=547.76569688605343
p=0.00285612015535 q=547.76569688605355
p=0.0028561201553502502 q=547.76569688605377
p=0.0028561201553505 q=547.76569688605389
p=0.0028561201553507498 q=547.765696886054
p=0.002856120155351 q=547.76569688605423
p=0.0028561201553512498 q=547.76569688605434
p=0.0028561201553515001 q=547.76569688605446
p=0.0028561201553517499 q=547.76569688605468
p=0.0028561201553520001 q=547.7656968860548
p=0.0028561201553522499 q=547.76569688605491
p=0.0028561201553525001 q=547.76569688605503
p=0.0028561201553527499 q=547.76569688605525
p=0.0028561201553530002 q=547.76569688605537
p=0.00285612015535325 q=547.76569688605548
p=0.0028561201553535002 q=547.76569688605559
p=0.00285612015535375 q=547.76569688605582
p=0.0028561201553539998 q=547.76569688605593
p=0.0028561201553542501 q=547.76569688605605
p=0.0028561201553544999 q=547.76569688605628
p=0.0028561201553547501 q=547.76569688605639
p=0.0028561201553549999 q=547.7656968860565
p=0.0028561201553552501 q=547.76569688605673
p=0.0028561201553554999 q=547.76569688605684
p=0.0028561201553557502 q=547.76569688605696
p=0.002856120155356 q=547.76569688605707
p=0.0028561201553562502 q=547.76569688605719
p=0.0028561201553565 q=547.76569688605741
p=0.0028561201553567502 q=547.76569688605753
p=0.002856120155357 q=547.76569688605764
p=0.0028561201553572498 q=547.76569688605787
p=0.0028561201553575001 q=547.76569688605798
p=0.0028561201553577499 q=547.76569688605809
p=0.0028561201553580001 q=547.76569688605832
p=0.0028561201553582499 q=547.76569688605844
p=0.0028561201553585001 q=547.76569688605855
p=0.0028561201553587499 q=547.76569688605866
p=0.0028561201553590002 q=547.76569688605889
p=0.00285612015535925 q=547.765696886059
p=0.0028561201553595002 q=547.76569688605912
p=0.00285612015535975 q=547.76569688605923
p=0.0028561201553600002 q=547.76569688605946
p=0.00285612015536025 q=547.76569688605957
p=0.0028561201553604998 q=547.76569688605969
p=0.0028561201553607501 q=547.76569688605991
p=0.0028561201553609999 q=547.76569688606003
p=0.0028561201553612501 q=547.76569688606014
p=0.0028561201553614999 q=547.76569688606037
p=0.0028561201553617501 q=547.76569688606048
p=0.0028561201553619999 q=547.7656968860606
p=0.0028561201553622502 q=547.76569688606071
p=0.0028561201553625 q=547.76569688606094
p=0.0028561201553627502 q=547.76569688606105
p=0.002856120155363 q=547.76569688606116
p=0.0028561201553632502 q=547.76569688606128
p=0.0028561201553635 q=547.76569688606151
p=0.0028561201553637498 q=547.76569688606162
p=0.0028561201553640001 q=547.76569688606173
p=0.0028561201553642499 q=547.76569688606196
p=0.0028561201553645001 q=547.76569688606207
p=0.0028561201553647499 q=547.76569688606219
p=0.0028561201553650001 q=547.7656968860623
p=0.0028561201553652499 q=547.76569688606253
p=0.0028561201553655002 q=547.76569688606264
p=0.00285612015536575 q=547.76569688606276
p=0.0028561201553660002 q=547.76569688606287
p=0.00285612015536625 q=547.7656968860631
p=0.0028561201553664998 q=547.76569688606321
p=0.00285612015536675 q=547.76569688606332
p=0.0028561201553669998 q=547.76569688606355
p=0.0028561201553672501 q=547.76569688606367
p=0.0028561201553674999 q=547.76569688606378
p=0.0028561201553677501 q=547.76569688606401
p=0.0028561201553679999 q=547.76569688606412
p=0.0028561201553682501 q=547.76569688606423
p=0.0028561201553684999 q=547.76569688606435
p=0.0028561201553687502 q=547.76569688606446
p=0.002856120155369 q=547.76569688606469
p=0.0028561201553692502 q=547.7656968860648
p=0.0028561201553695 q=547.76569688606492
p=0.0028561201553697498 q=547.76569688606514
p=0.00285612015537 q=547.76569688606526
p=0.0028561201553702498 q=547.76569688606537
p=0.0028561201553705001 q=547.7656968860656
p=0.0028561201553707499 q=547.76569688606571
p=0.0028561201553710001 q=547.76569688606583
p=0.0028561201553712499 q=547.76569688606594
p=0.0028561201553715001 q=547.76569688606617
p=0.0028561201553717499 q=547.76569688606628
p=0.0028561201553720002 q=547.76569688606639
p=0.00285612015537225 q=547.76569688606662
p=0.0028561201553725002 q=547.76569688606673
p=0.00285612015537275 q=547.76569688606685
p=0.0028561201553729998 q=547.76569688606696
p=0.00285612015537325 q=547.76569688606719
p=0.0028561201553734998 q=547.7656968860673
p=0.0028561201553737501 q=547.76569688606742
p=0.0028561201553739999 q=547.76569688606753
p=0.0028561201553742501 q=547.76569688606776
p=0.0028561201553744999 q=547.76569688606787
p=0.0028561201553747501 q=547.76569688606799
p=0.0028561201553749999 q=547.76569688606821
p=0.0028561201553752502 q=547.76569688606833
p=0.0028561201553755 q=547.76569688606844
p=0.0028561201553757502 q=547.76569688606855
p=0.002856120155376 q=547.76569688606878
p=0.0028561201553762498 q=547.76569688606889
p=0.0028561201553765 q=547.76569688606901
p=0.0028561201553767498 q=547.76569688606924
p=0.0028561201553770001 q=547.76569688606935
p=0.0028561201553772499 q=547.76569688606946
p=0.0028561201553775001 q=547.76569688606958
p=0.0028561201553777499 q=547.7656968860698
p=0.0028561201553780001 q=547.76569688606992
p=0.0028561201553782499 q=547.76569688607003
p=0.0028561201553785002 q=547.76569688607015
p=0.00285612015537875 q=547.76569688607037
p=0.0028561201553790002 q=547.76569688607049
p=0.00285612015537925 q=547.7656968860706
p=0.0028561201553794998 q=547.76569688607083
p=0.0028561201553797501 q=547.76569688607094
p=0.0028561201553799999 q=547.76569688607105
p=0.0028561201553802501 q=547.76569688607128
p=0.0028561201553804999 q=547.7656968860714
p=0.0028561201553807501 q=547.76569688607151
p=0.0028561201553809999 q=547.76569688607162
p=0.0028561201553812502 q=547.76569688607185
p=0.0028561201553815 q=547.76569688607196
p=0.0028561201553817502 q=547.76569688607208
p=0.002856120155382 q=547.76569688607219
p=0.0028561201553822502 q=547.76569688607242
p=0.0028561201553825 q=547.76569688607253
p=0.0028561201553827498 q=547.76569688607265
p=0.0028561201553830001 q=547.76569688607287
p=0.0028561201553832499 q=547.76569688607299
p=0.0028561201553835001 q=547.7656968860731
p=0.0028561201553837499 q=547.76569688607321
p=0.0028561201553840001 q=547.76569688607344
p=0.0028561201553842499 q=547.76569688607356
p=0.0028561201553845002 q=547.76569688607367
p=0.00285612015538475 q=547.76569688607378
p=0.0028561201553850002 q=547.76569688607401
p=0.00285612015538525 q=547.76569688607412
p=0.0028561201553854998 q=547.76569688607424
p=0.00285612015538575 q=547.76569688607447
p=0.0028561201553859998 q=547.76569688607458
p=0.0028561201553862501 q=547.76569688607469
p=0.0028561201553864999 q=547.76569688607492
p=0.0028561201553867501 q=547.76569688607503
p=0.0028561201553869999 q=547.76569688607515
p=0.0028561201553872501 q=547.76569688607538
p=0.0028561201553874999 q=547.76569688607549
p=0.0028561201553877502 q=547.7656968860756
p=0.002856120155388 q=547.76569688607572
p=0.0028561201553882502 q=547.76569688607583
p=0.0028561201553885 q=547.76569688607606
p=0.0028561201553887498 q=547.76569688607617
p=0.002856120155389 q=547.76569688607628
p=0.0028561201553892498 q=547.76569688607651
p=0.0028561201553895001 q=547.76569688607663
p=0.0028561201553897499 q=547.76569688607674
p=0.0028561201553900001 q=547.76569688607685
p=0.0028561201553902499 q=547.76569688607708
p=0.0028561201553905001 q=547.76569688607719
p=0.0028561201553907499 q=547.76569688607731
p=0.0028561201553910002 q=547.76569688607742
p=0.00285612015539125 q=547.76569688607765
p=0.0028561201553915002 q=547.76569688607776
p=0.00285612015539175 q=547.76569688607788
p=0.0028561201553919998 q=547.7656968860781
p=0.00285612015539225 q=547.76569688607822
p=0.0028561201553924998 q=547.76569688607833
p=0.0028561201553927501 q=547.76569688607844
p=0.0028561201553929999 q=547.76569688607867
p=0.0028561201553932501 q=547.76569688607879
p=0.0028561201553934999 q=547.7656968860789
p=0.0028561201553937501 q=547.76569688607913
p=0.0028561201553939999 q=547.76569688607924
p=0.0028561201553942502 q=547.76569688607935
p=0.0028561201553945 q=547.76569688607947
p=0.0028561201553947502 q=547.7656968860797
p=0.002856120155395 q=547.76569688607981
p=0.0028561201553952498 q=547.76569688607992
