PROBE_V1
p=0.0028561201553367502 q=539.85836953143587
p=0.002856120155337 q=539.85836953143655
p=0.0028561201553372502 q=539.85836953143723
p=0.0028561201553375 q=539.8583695314378
p=0.0028561201553377502 q=539.85836953143848
p=0.002856120155338 q=539.85836953143917
p=0.0028561201553382498 q=539.85836953143973
p=0.0028561201553385001 q=539.85836953144042
p=0.0028561201553387499 q=539.85836953144121
p=0.0028561201553390001 q=539.85836953144178
p=0.0028561201553392499 q=539.85836953144235
p=0.0028561201553395001 q=539.85836953144303
p=0.0028561201553397499 q=539.85836953144371
p=0.0028561201553400002 q=539.85836953144428
p=0.00285612015534025 q=539.85836953144496
p=0.0028561201553405002 q=539.85836953144565
p=0.00285612015534075 q=539.85836953144633
p=0.0028561201553410002 q=539.8583695314469
p=0.00285612015534125 q=539.85836953144769
p=0.0028561201553414998 q=539.85836953144826
p=0.0028561201553417501 q=539.85836953144894
p=0.0028561201553419999 q=539.85836953144963
p=0.0028561201553422501 q=539.85836953145019
p=0.0028561201553424999 q=539.85836953145076
p=0.0028561201553427501 q=539.85836953145144
p=0.0028561201553429999 q=539.85836953145213
p=0.0028561201553432502 q=539.85836953145281
p=0.0028561201553435 q=539.85836953145338
p=0.0028561201553437502 q=539.85836953145417
p=0.002856120155344 q=539.85836953145485
p=0.0028561201553442502 q=539.85836953145554
p=0.0028561201553445 q=539.85836953145622
p=0.0028561201553447498 q=539.85836953145667
p=0.0028561201553450001 q=539.85836953145747
p=0.0028561201553452499 q=539.85836953145815
p=0.0028561201553455001 q=539.85836953145861
p=0.0028561201553457499 q=539.85836953145929
p=0.0028561201553460001 q=539.85836953146008
p=0.0028561201553462499 q=539.85836953146077
p=0.0028561201553465002 q=539.85836953146145
p=0.00285612015534675 q=539.85836953146202
p=0.0028561201553470002 q=539.85836953146259
p=0.00285612015534725 q=539.85836953146338
p=0.0028561201553474998 q=539.85836953146395
p=0.00285612015534775 q=539.85836953146452
p=0.0028561201553479998 q=539.85836953146509
p=0.0028561201553482501 q=539.85836953146577
p=0.0028561201553484999 q=539.85836953146656
p=0.0028561201553487501 q=539.85836953146725
p=0.0028561201553489999 q=539.85836953146793
p=0.0028561201553492501 q=539.8583695314685
p=0.0028561201553494999 q=539.85836953146907
p=0.0028561201553497502 q=539.85836953146975
p=0.00285612015535 q=539.85836953147032
p=0.0028561201553502502 q=539.858369531471
p=0.0028561201553505 q=539.85836953147157
p=0.0028561201553507498 q=539.85836953147236
p=0.002856120155351 q=539.85836953147316
p=0.0028561201553512498 q=539.85836953147373
p=0.0028561201553515001 q=539.85836953147441
p=0.0028561201553517499 q=539.85836953147498
p=0.0028561201553520001 q=539.85836953147577
p=0.0028561201553522499 q=539.85836953147623
p=0.0028561201553525001 q=539.85836953147691
p=0.0028561201553527499 q=539.85836953147759
p=0.0028561201553530002 q=539.85836953147827
p=0.00285612015535325 q=539.85836953147896
p=0.0028561201553535002 q=539.85836953147964
p=0.00285612015535375 q=539.85836953148009
p=0.0028561201553539998 q=539.85836953148089
p=0.0028561201553542501 q=539.85836953148157
p=0.0028561201553544999 q=539.85836953148225
p=0.0028561201553547501 q=539.85836953148282
p=0.0028561201553549999 q=539.85836953148339
p=0.0028561201553552501 q=539.85836953148419
p=0.0028561201553554999 q=539.85836953148464
p=0.0028561201553557502 q=539.85836953148544
p=0.002856120155356 q=539.85836953148612
p=0.0028561201553562502 q=539.8583695314868
p=0.0028561201553565 q=539.85836953148748
p=0.0028561201553567502 q=539.85836953148805
p=0.002856120155357 q=539.85836953148862
p=0.0028561201553572498 q=539.8583695314893
p=0.0028561201553575001 q=539.8583695314901
p=0.0028561201553577499 q=539.85836953149055
